title,genre,description,rating,year
Interstellar,Science Fiction Adventure Drama,A team of explorers travels through a wormhole in space to save humanity.,8.7,2014
The Martian,Science Fiction Adventure Drama,An astronaut stranded on Mars uses science and determination to survive.,8.0,2015
Arrival,Science Fiction Drama Mystery,A linguist communicates with mysterious visitors from another world.,7.9,2016
Gravity,Science Fiction Thriller Drama,Two astronauts struggle to survive after an accident in space.,7.7,2013
Blade Runner 2049,Science Fiction Mystery Drama,A futuristic police officer uncovers a secret that could change society.,8.0,2017
Avatar,Science Fiction Adventure Fantasy,A former marine explores an alien world and becomes involved with its people.,7.9,2009
Inception,Science Fiction Action Thriller,A skilled thief enters dreams to steal and implant information.,8.8,2010
The Dark Knight,Action Crime Drama,A masked hero confronts a dangerous criminal mastermind.,9.0,2008
Iron Man,Action Adventure Science Fiction,A wealthy inventor creates an advanced armored suit and becomes a hero.,7.9,2008
Avengers: Endgame,Action Adventure Science Fiction,Heroes unite to reverse the destruction caused by a powerful enemy.,8.4,2019
Titanic,Romance Drama,A young couple falls in love aboard a famous ocean liner.,7.9,1997
The Notebook,Romance Drama,A couple experiences a lifelong love story filled with challenges.,7.8,2004
La La Land,Romance Musical Drama,A musician and an actress pursue their dreams while falling in love.,8.0,2016
Pride and Prejudice,Romance Drama,A young woman navigates family expectations and unexpected love.,7.8,2005
The Conjuring,Horror Mystery Thriller,Paranormal investigators help a family experiencing supernatural events.,7.5,2013
A Quiet Place,Horror Science Fiction Drama,A family survives in silence while hiding from dangerous creatures.,7.5,2018
Get Out,Horror Mystery Thriller,A young man discovers disturbing secrets while visiting his girlfriend's family.,7.8,2017
Toy Story,Animation Adventure Comedy Family,Toys come to life and experience friendship and adventure.,8.3,1995
Finding Nemo,Animation Adventure Family,A father crosses the ocean to find his missing son.,8.2,2003
Coco,Animation Fantasy Family,A young musician enters the land of the dead to understand his family history.,8.4,2017
The Hangover,Comedy Adventure,Friends search for a missing groom after a chaotic night in Las Vegas.,7.7,2009
Home Alone,Comedy Family,A child protects his home from two burglars during Christmas.,7.7,1990
Jurassic Park,Adventure Science Fiction Thriller,Scientists create a park containing genetically recreated dinosaurs.,8.2,1993
The Lord of the Rings,Fantasy Adventure Drama,A group begins a dangerous journey to destroy a powerful ring.,8.9,2001
Harry Potter and the Sorcerer's Stone,Fantasy Adventure Family,A young boy discovers that he is a wizard and attends a magical school.,7.7,2001
